Frequency (Hz),Level (dBFS),condition,item,order,setting,subject
1000,-90,decrease,1000hz_minus_90dBFS.wav,1,baseline,data
500,-90,decrease,1500hz_minus_90dBFS.wav,1,baseline,data
2000,-90,decrease,2000hz_minus_90dBFS.wav,1,baseline,data
250,-90,decrease,2250hz_minus_90dBFS.wav,1,baseline,data
500,-90,decrease,2500hz_minus_90dBFS.wav,1,baseline,data
2750,-80,decrease,2750hz_minus_80dBFS.wav,1,baseline,data
3000,-90,decrease,3000hz_minus_90dBFS.wav,1,baseline,data
4000,-90,decrease,4000hz_minus_90dBFS.wav,1,baseline,data
6000,-90,decrease,6000hz_minus_90dBFS.wav,1,baseline,data
8000,-80,decrease,8000hz_minus_80dBFS.wav,1,baseline,data
500,-90,decrease,500hz_minus_90dBFS.wav,1,baseline,data
250,-20,decrease,250hz_minus_20dBFS.wav,1,baseline,data
150,-90,decrease,150hz_minus_90dBFS.wav,1,baseline,data
150,-90,decrease,150hz_minus_90dBFS.wav,2,baseline,data
250,-90,decrease,250hz_minus_90dBFS.wav,2,baseline,data
500,-20,decrease,500hz_minus_20dBFS.wav,2,baseline,data
8000,-80,decrease,8000hz_minus_80dBFS.wav,2,baseline,data
6000,-80,decrease,6000hz_minus_80dBFS.wav,2,baseline,data
4000,-80,decrease,4000hz_minus_80dBFS.wav,2,baseline,data
3000,-90,decrease,3000hz_minus_90dBFS.wav,2,baseline,data
2750,-80,decrease,2750hz_minus_80dBFS.wav,2,baseline,data
500,-80,decrease,2500hz_minus_80dBFS.wav,2,baseline,data
250,-90,decrease,2250hz_minus_90dBFS.wav,2,baseline,data
2000,-90,decrease,2000hz_minus_90dBFS.wav,2,baseline,data
500,-90,decrease,1500hz_minus_90dBFS.wav,2,baseline,data
1000,-90,decrease,1000hz_minus_90dBFS.wav,2,baseline,data
1000,-90,increase,1000hz_minus_90dBFS.wav,1,baseline,data
500,-90,increase,1500hz_minus_90dBFS.wav,1,baseline,data
2000,-90,increase,2000hz_minus_90dBFS.wav,1,baseline,data
250,-80,increase,2250hz_minus_80dBFS.wav,1,baseline,data
500,-80,increase,2500hz_minus_80dBFS.wav,1,baseline,data
2750,-90,increase,2750hz_minus_90dBFS.wav,1,baseline,data
3000,-90,increase,3000hz_minus_90dBFS.wav,1,baseline,data
4000,-90,increase,4000hz_minus_90dBFS.wav,1,baseline,data
6000,-80,increase,6000hz_minus_80dBFS.wav,1,baseline,data
8000,-90,increase,8000hz_minus_90dBFS.wav,1,baseline,data
500,-90,increase,500hz_minus_90dBFS.wav,1,baseline,data
250,-90,increase,250hz_minus_90dBFS.wav,1,baseline,data
150,-90,increase,150hz_minus_90dBFS.wav,1,baseline,data
150,-90,increase,150hz_minus_90dBFS.wav,2,baseline,data
250,-90,increase,250hz_minus_90dBFS.wav,2,baseline,data
500,-90,increase,500hz_minus_90dBFS.wav,2,baseline,data
8000,-90,increase,8000hz_minus_90dBFS.wav,2,baseline,data
6000,-80,increase,6000hz_minus_80dBFS.wav,2,baseline,data
4000,-90,increase,4000hz_minus_90dBFS.wav,2,baseline,data
3000,-90,increase,3000hz_minus_90dBFS.wav,2,baseline,data
2750,-90,increase,2750hz_minus_90dBFS.wav,2,baseline,data
500,-80,increase,2500hz_minus_80dBFS.wav,2,baseline,data
250,-80,increase,2250hz_minus_80dBFS.wav,2,baseline,data
2000,-90,increase,2000hz_minus_90dBFS.wav,2,baseline,data
500,-90,increase,1500hz_minus_90dBFS.wav,2,baseline,data
1000,-90,increase,1000hz_minus_90dBFS.wav,2,baseline,data
1000,-60,decrease,1000hz_minus_60dBFS.wav,1,epi_fast(TR1s),data
500,-60,decrease,1500hz_minus_60dBFS.wav,1,epi_fast(TR1s),data
2000,-90,decrease,2000hz_minus_90dBFS.wav,1,epi_fast(TR1s),data
250,-60,decrease,2250hz_minus_60dBFS.wav,1,epi_fast(TR1s),data
500,-60,decrease,2500hz_minus_60dBFS.wav,1,epi_fast(TR1s),data
2750,-70,decrease,2750hz_minus_70dBFS.wav,1,epi_fast(TR1s),data
3000,-70,decrease,3000hz_minus_70dBFS.wav,1,epi_fast(TR1s),data
4000,-70,decrease,4000hz_minus_70dBFS.wav,1,epi_fast(TR1s),data
6000,-80,decrease,6000hz_minus_80dBFS.wav,1,epi_fast(TR1s),data
8000,-60,decrease,8000hz_minus_60dBFS.wav,1,epi_fast(TR1s),data
500,-70,decrease,500hz_minus_70dBFS.wav,1,epi_fast(TR1s),data
250,-50,decrease,250hz_minus_50dBFS.wav,1,epi_fast(TR1s),data
150,-40,decrease,150hz_minus_40dBFS.wav,1,epi_fast(TR1s),data
150,-40,decrease,150hz_minus_40dBFS.wav,2,epi_fast(TR1s),data
250,-60,decrease,250hz_minus_60dBFS.wav,2,epi_fast(TR1s),data
500,-60,decrease,500hz_minus_60dBFS.wav,2,epi_fast(TR1s),data
8000,-70,decrease,8000hz_minus_70dBFS.wav,2,epi_fast(TR1s),data
6000,-80,decrease,6000hz_minus_80dBFS.wav,2,epi_fast(TR1s),data
4000,-70,decrease,4000hz_minus_70dBFS.wav,2,epi_fast(TR1s),data
3000,-90,decrease,3000hz_minus_90dBFS.wav,2,epi_fast(TR1s),data
2750,-70,decrease,2750hz_minus_70dBFS.wav,2,epi_fast(TR1s),data
500,-60,decrease,2500hz_minus_60dBFS.wav,2,epi_fast(TR1s),data
250,-60,decrease,2250hz_minus_60dBFS.wav,2,epi_fast(TR1s),data
2000,-60,decrease,2000hz_minus_60dBFS.wav,2,epi_fast(TR1s),data
500,-90,decrease,1500hz_minus_90dBFS.wav,2,epi_fast(TR1s),data
1000,-60,decrease,1000hz_minus_60dBFS.wav,2,epi_fast(TR1s),data
1000,-40,increase,1000hz_minus_40dBFS.wav,1,epi_fast(TR1s),data
500,-60,increase,1500hz_minus_60dBFS.wav,1,epi_fast(TR1s),data
2000,-90,increase,2000hz_minus_90dBFS.wav,1,epi_fast(TR1s),data
250,-70,increase,2250hz_minus_70dBFS.wav,1,epi_fast(TR1s),data
500,-60,increase,2500hz_minus_60dBFS.wav,1,epi_fast(TR1s),data
2750,-70,increase,2750hz_minus_70dBFS.wav,1,epi_fast(TR1s),data
3000,-80,increase,3000hz_minus_80dBFS.wav,1,epi_fast(TR1s),data
4000,-70,increase,4000hz_minus_70dBFS.wav,1,epi_fast(TR1s),data
6000,-80,increase,6000hz_minus_80dBFS.wav,1,epi_fast(TR1s),data
8000,-80,increase,8000hz_minus_80dBFS.wav,1,epi_fast(TR1s),data
500,-80,increase,500hz_minus_80dBFS.wav,1,epi_fast(TR1s),data
250,-70,increase,250hz_minus_70dBFS.wav,1,epi_fast(TR1s),data
150,-40,increase,150hz_minus_40dBFS.wav,1,epi_fast(TR1s),data
150,-20,increase,150hz_minus_20dBFS.wav,2,epi_fast(TR1s),data
250,-50,increase,250hz_minus_50dBFS.wav,2,epi_fast(TR1s),data
500,-70,increase,500hz_minus_70dBFS.wav,2,epi_fast(TR1s),data
8000,-80,increase,8000hz_minus_80dBFS.wav,2,epi_fast(TR1s),data
6000,-80,increase,6000hz_minus_80dBFS.wav,2,epi_fast(TR1s),data
4000,-70,increase,4000hz_minus_70dBFS.wav,2,epi_fast(TR1s),data
3000,-70,increase,3000hz_minus_70dBFS.wav,2,epi_fast(TR1s),data
2750,-70,increase,2750hz_minus_70dBFS.wav,2,epi_fast(TR1s),data
500,-60,increase,2500hz_minus_60dBFS.wav,2,epi_fast(TR1s),data
250,-60,increase,2250hz_minus_60dBFS.wav,2,epi_fast(TR1s),data
2000,-60,increase,2000hz_minus_60dBFS.wav,2,epi_fast(TR1s),data
500,-60,increase,1500hz_minus_60dBFS.wav,2,epi_fast(TR1s),data
1000,-60,increase,1000hz_minus_60dBFS.wav,2,epi_fast(TR1s),data
1000,-70,decrease,1000hz_minus_70dBFS.wav,1,epi_standard(TR2s),data
500,-80,decrease,1500hz_minus_80dBFS.wav,1,epi_standard(TR2s),data
2000,-70,decrease,2000hz_minus_70dBFS.wav,1,epi_standard(TR2s),data
250,-70,decrease,2250hz_minus_70dBFS.wav,1,epi_standard(TR2s),data
500,-60,decrease,2500hz_minus_60dBFS.wav,1,epi_standard(TR2s),data
2750,-80,decrease,2750hz_minus_80dBFS.wav,1,epi_standard(TR2s),data
3000,-80,decrease,3000hz_minus_80dBFS.wav,1,epi_standard(TR2s),data
4000,-80,decrease,4000hz_minus_80dBFS.wav,1,epi_standard(TR2s),data
6000,-80,decrease,6000hz_minus_80dBFS.wav,1,epi_standard(TR2s),data
8000,-70,decrease,8000hz_minus_70dBFS.wav,1,epi_standard(TR2s),data
500,-90,decrease,500hz_minus_90dBFS.wav,1,epi_standard(TR2s),data
250,-60,decrease,250hz_minus_60dBFS.wav,1,epi_standard(TR2s),data
150,-50,decrease,150hz_minus_50dBFS.wav,1,epi_standard(TR2s),data
150,-40,decrease,150hz_minus_40dBFS.wav,2,epi_standard(TR2s),data
250,-50,decrease,250hz_minus_50dBFS.wav,2,epi_standard(TR2s),data
500,-90,decrease,500hz_minus_90dBFS.wav,2,epi_standard(TR2s),data
8000,-60,decrease,8000hz_minus_60dBFS.wav,2,epi_standard(TR2s),data
6000,-70,decrease,6000hz_minus_70dBFS.wav,2,epi_standard(TR2s),data
4000,-70,decrease,4000hz_minus_70dBFS.wav,2,epi_standard(TR2s),data
3000,-90,decrease,3000hz_minus_90dBFS.wav,2,epi_standard(TR2s),data
2750,-80,decrease,2750hz_minus_80dBFS.wav,2,epi_standard(TR2s),data
500,-70,decrease,2500hz_minus_70dBFS.wav,2,epi_standard(TR2s),data
250,-70,decrease,2250hz_minus_70dBFS.wav,2,epi_standard(TR2s),data
2000,-70,decrease,2000hz_minus_70dBFS.wav,2,epi_standard(TR2s),data
500,-80,decrease,1500hz_minus_80dBFS.wav,2,epi_standard(TR2s),data
1000,-60,decrease,1000hz_minus_60dBFS.wav,2,epi_standard(TR2s),data
1000,-90,increase,1000hz_minus_90dBFS.wav,1,epi_standard(TR2s),data
500,-90,increase,1500hz_minus_90dBFS.wav,1,epi_standard(TR2s),data
2000,-80,increase,2000hz_minus_80dBFS.wav,1,epi_standard(TR2s),data
250,-70,increase,2250hz_minus_70dBFS.wav,1,epi_standard(TR2s),data
500,-80,increase,2500hz_minus_80dBFS.wav,1,epi_standard(TR2s),data
2750,-80,increase,2750hz_minus_80dBFS.wav,1,epi_standard(TR2s),data
3000,-90,increase,3000hz_minus_90dBFS.wav,1,epi_standard(TR2s),data
4000,-80,increase,4000hz_minus_80dBFS.wav,1,epi_standard(TR2s),data
6000,-80,increase,6000hz_minus_80dBFS.wav,1,epi_standard(TR2s),data
8000,-80,increase,8000hz_minus_80dBFS.wav,1,epi_standard(TR2s),data
500,-90,increase,500hz_minus_90dBFS.wav,1,epi_standard(TR2s),data
250,-50,increase,250hz_minus_50dBFS.wav,1,epi_standard(TR2s),data
150,-40,increase,150hz_minus_40dBFS.wav,1,epi_standard(TR2s),data
150,-40,increase,150hz_minus_40dBFS.wav,2,epi_standard(TR2s),data
250,-50,increase,250hz_minus_50dBFS.wav,2,epi_standard(TR2s),data
500,-70,increase,500hz_minus_70dBFS.wav,2,epi_standard(TR2s),data
8000,-80,increase,8000hz_minus_80dBFS.wav,2,epi_standard(TR2s),data
6000,-80,increase,6000hz_minus_80dBFS.wav,2,epi_standard(TR2s),data
4000,-80,increase,4000hz_minus_80dBFS.wav,2,epi_standard(TR2s),data
3000,-80,increase,3000hz_minus_80dBFS.wav,2,epi_standard(TR2s),data
2750,-80,increase,2750hz_minus_80dBFS.wav,2,epi_standard(TR2s),data
500,-70,increase,2500hz_minus_70dBFS.wav,2,epi_standard(TR2s),data
250,-70,increase,2250hz_minus_70dBFS.wav,2,epi_standard(TR2s),data
2000,-80,increase,2000hz_minus_80dBFS.wav,2,epi_standard(TR2s),data
500,-70,increase,1500hz_minus_70dBFS.wav,2,epi_standard(TR2s),data
1000,-50,increase,1000hz_minus_50dBFS.wav,2,epi_standard(TR2s),data
1000,-90,decrease,1000hz_minus_90dBFS.wav,1,structural(T1w),data
500,-90,decrease,1500hz_minus_90dBFS.wav,1,structural(T1w),data
2000,-90,decrease,2000hz_minus_90dBFS.wav,1,structural(T1w),data
250,-80,decrease,2250hz_minus_80dBFS.wav,1,structural(T1w),data
500,-80,decrease,2500hz_minus_80dBFS.wav,1,structural(T1w),data
2750,-80,decrease,2750hz_minus_80dBFS.wav,1,structural(T1w),data
3000,-90,decrease,3000hz_minus_90dBFS.wav,1,structural(T1w),data
4000,-80,decrease,4000hz_minus_80dBFS.wav,1,structural(T1w),data
6000,-80,decrease,6000hz_minus_80dBFS.wav,1,structural(T1w),data
8000,-70,decrease,8000hz_minus_70dBFS.wav,1,structural(T1w),data
500,-80,decrease,500hz_minus_80dBFS.wav,1,structural(T1w),data
250,-70,decrease,250hz_minus_70dBFS.wav,1,structural(T1w),data
150,-60,decrease,150hz_minus_60dBFS.wav,1,structural(T1w),data
150,-60,decrease,150hz_minus_60dBFS.wav,2,structural(T1w),data
250,-70,decrease,250hz_minus_70dBFS.wav,2,structural(T1w),data
500,-90,decrease,500hz_minus_90dBFS.wav,2,structural(T1w),data
8000,-80,decrease,8000hz_minus_80dBFS.wav,2,structural(T1w),data
6000,-80,decrease,6000hz_minus_80dBFS.wav,2,structural(T1w),data
4000,-80,decrease,4000hz_minus_80dBFS.wav,2,structural(T1w),data
3000,-90,decrease,3000hz_minus_90dBFS.wav,2,structural(T1w),data
2750,-80,decrease,2750hz_minus_80dBFS.wav,2,structural(T1w),data
500,-90,decrease,2500hz_minus_90dBFS.wav,2,structural(T1w),data
250,-90,decrease,2250hz_minus_90dBFS.wav,2,structural(T1w),data
2000,-90,decrease,2000hz_minus_90dBFS.wav,2,structural(T1w),data
500,-90,decrease,1500hz_minus_90dBFS.wav,2,structural(T1w),data
1000,-20,decrease,1000hz_minus_20dBFS.wav,2,structural(T1w),data
1000,-80,increase,1000hz_minus_80dBFS.wav,1,structural(T1w),data
500,-70,increase,1500hz_minus_70dBFS.wav,1,structural(T1w),data
2000,-80,increase,2000hz_minus_80dBFS.wav,1,structural(T1w),data
250,-80,increase,2250hz_minus_80dBFS.wav,1,structural(T1w),data
500,-80,increase,2500hz_minus_80dBFS.wav,1,structural(T1w),data
2750,-80,increase,2750hz_minus_80dBFS.wav,1,structural(T1w),data
3000,-80,increase,3000hz_minus_80dBFS.wav,1,structural(T1w),data
4000,-80,increase,4000hz_minus_80dBFS.wav,1,structural(T1w),data
6000,-80,increase,6000hz_minus_80dBFS.wav,1,structural(T1w),data
8000,-80,increase,8000hz_minus_80dBFS.wav,1,structural(T1w),data
500,-50,increase,500hz_minus_50dBFS.wav,1,structural(T1w),data
250,-50,increase,250hz_minus_50dBFS.wav,1,structural(T1w),data
150,-40,increase,150hz_minus_40dBFS.wav,1,structural(T1w),data
150,-50,increase,150hz_minus_50dBFS.wav,2,structural(T1w),data
250,-40,increase,250hz_minus_40dBFS.wav,2,structural(T1w),data
500,-60,increase,500hz_minus_60dBFS.wav,2,structural(T1w),data
8000,-80,increase,8000hz_minus_80dBFS.wav,2,structural(T1w),data
6000,-80,increase,6000hz_minus_80dBFS.wav,2,structural(T1w),data
4000,-80,increase,4000hz_minus_80dBFS.wav,2,structural(T1w),data
3000,-80,increase,3000hz_minus_80dBFS.wav,2,structural(T1w),data
2750,-80,increase,2750hz_minus_80dBFS.wav,2,structural(T1w),data
500,-70,increase,2500hz_minus_70dBFS.wav,2,structural(T1w),data
250,-70,increase,2250hz_minus_70dBFS.wav,2,structural(T1w),data
2000,-80,increase,2000hz_minus_80dBFS.wav,2,structural(T1w),data
500,-80,increase,1500hz_minus_80dBFS.wav,2,structural(T1w),data
1000,-80,increase,1000hz_minus_80dBFS.wav,2,structural(T1w),data
